Name,Value,Year,Type,Gender
Genevieve,476.0,2021,Rank,Girl
Georgia,104.0,2021,Rank,Girl
Georgiana,983.0,2021,Rank,Girl
Georgie,235.0,2021,Rank,Girl
Georgina,311.0,2021,Rank,Girl
Gianna,378.0,2021,Rank,Girl
Giorgia,1454.0,2021,Rank,Girl
Giovanna,734.0,2021,Rank,Girl
Giselle,2201.0,2021,Rank,Girl
Giulia,640.0,2021,Rank,Girl
Gloria,564.0,2021,Rank,Girl
Grace,14.0,2021,Rank,Girl
Gracie,79.0,2021,Rank,Girl
Greta,983.0,2021,Rank,Girl
Gwen,734.0,2021,Rank,Girl
Gwenllian,1402.0,2021,Rank,Girl
Gwenno,2942.0,2021,Rank,Girl
Gwyneth,2499.0,2021,Rank,Girl
Habiba,1454.0,2021,Rank,Girl
Habibah,2711.0,2021,Rank,Girl
Hadassah,2499.0,2021,Rank,Girl
Hadia,1505.0,2021,Rank,Girl
Hadiyah,1454.0,2021,Rank,Girl
Hafiza,3961.0,2021,Rank,Girl
Hafsa,243.0,2021,Rank,Girl
Hafsah,529.0,2021,Rank,Girl
Hailey,501.0,2021,Rank,Girl
Hajar,1785.0,2021,Rank,Girl
Hajira,5581.0,2021,Rank,Girl
Hajra,1007.0,2021,Rank,Girl
Hajrah,2942.0,2021,Rank,Girl
Haleema,640.0,2021,Rank,Girl
Haleemah,2341.0,2021,Rank,Girl
Halima,346.0,2021,Rank,Girl
Halimah,1007.0,2021,Rank,Girl
Halle,231.0,2021,Rank,Girl
Hamda,3961.0,2021,Rank,Girl
Hana,214.0,2021,Rank,Girl
Hanaa,2499.0,2021,Rank,Girl
Hanah,5581.0,2021,Rank,Girl
Hanan,1962.0,2021,Rank,Girl
Haneen,1785.0,2021,Rank,Girl
Hania,491.0,2021,Rank,Girl
Hanifa,1866.0,2021,Rank,Girl
Hanifah,3519.0,2021,Rank,Girl
Hanna,214.0,2021,Rank,Girl
Hannah,89.0,2021,Rank,Girl
Harleen,812.0,2021,Rank,Girl
Harleigh,1069.0,2021,Rank,Girl
Harley,252.0,2021,Rank,Girl
Harlie,720.0,2021,Rank,Girl
Harmony,333.0,2021,Rank,Girl
Harriet,63.0,2021,Rank,Girl
Harriett,801.0,2021,Rank,Girl
Harriette,1628.0,2021,Rank,Girl
Hattie,200.0,2021,Rank,Girl
